# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0,90,2993.158,807,0.302,0.003,NaN,47.264,0,0.705,0.568,0.017,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.01,89.371,2992.409,806.251,0.302,0.003,NaN,47.256,64.111,0.705,0.568,0.017,0.12,2.333e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.02,83.856,2991.66,805.502,0.302,0.003,NaN,47.249,128.222,0.705,0.568,0.017,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.03,73.393,2990.911,804.753,0.302,0.003,NaN,47.241,192.334,0.7,0.564,0.017,0.12,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.249,0.001,340.389,0.007,6.4,32.17
0.042,56.868,2990.012,803.854,0.301,0.003,NaN,47.232,269.267,0.683,0.546,0.017,0.12,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.248,0.001,340.389,0.008,6.4,32.17
0.045,52.776,2989.612,803.454,0.301,0.003,NaN,47.228,326.466,0.677,0.54,0.017,0.12,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.008,6.4,32.17
0.048,47.388,2989.03,802.872,0.301,0.003,NaN,47.221,311.56,0.667,0.53,0.017,0.12,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.009,6.4,32.17
0.054,41.163,2988.158,802,0.301,0.003,NaN,47.212,289.2,0.653,0.516,0.017,0.12,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.245,0.001,340.389,0.01,6.4,32.17
0.062,34.71,2986.849,800.691,0.301,0.003,NaN,47.199,255.66,0.636,0.499,0.017,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.242,0.001,340.389,0.012,6.4,32.17
0.07,30.754,2985.657,799.499,0.301,0.003,NaN,47.186,225.102,0.624,0.487,0.017,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.239,0.001,340.389,0.013,6.4,32.17
0.08,27.051,2984.468,798.31,0.301,0.003,NaN,47.174,214.247,0.611,0.474,0.017,0.12,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.234,0.001,340.388,0.015,6.4,32.17
0.091,24.009,2983.16,797.002,0.301,0.003,NaN,47.161,202.307,0.599,0.462,0.017,0.12,0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.228,0.001,340.388,0.017,6.4,32.17
0.101,21.779,2981.946,795.788,0.301,0.003,NaN,47.148,208.8,0.59,0.453,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.221,0.001,340.388,0.018,6.4,32.17
0.111,19.767,2980.731,794.573,0.3,0.003,NaN,47.135,215.294,0.581,0.444,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.214,0.001,340.388,0.02,6.4,32.17
0.121,18.018,2979.517,793.359,0.3,0.003,NaN,47.123,221.787,0.573,0.436,0.017,0.12,0.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.206,0.001,340.387,0.022,6.4,32.17
0.131,16.488,2978.303,792.145,0.3,0.003,NaN,47.11,228.281,0.566,0.429,0.017,0.12,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.198,0.001,340.387,0.023,6.4,32.17
0.14,15.269,2977.21,791.053,0.3,0.003,NaN,47.099,234.125,0.559,0.422,0.017,0.12,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.189,0.001,340.387,0.025,6.4,32.17
0.15,14.078,2975.876,789.718,0.3,0.003,NaN,47.085,235.963,0.553,0.415,0.017,0.12,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.179,0.001,340.387,0.027,6.4,32.17
0.16,13.1,2974.542,788.384,0.3,0.003,NaN,47.071,237.801,0.546,0.409,0.017,0.12,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.169,0.001,340.386,0.029,6.4,32.17
0.17,12.24,2973.207,787.049,0.3,0.003,NaN,47.057,239.64,0.541,0.404,0.017,0.12,0.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.157,0.001,340.386,0.031,6.4,32.17
0.18,11.502,2971.917,785.759,0.3,0.003,NaN,47.043,241.417,0.536,0.398,0.017,0.12,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.145,0.001,340.385,0.033,6.4,32.17
0.189,10.881,2970.707,784.549,0.299,0.003,59.063,47.03,243.084,0.532,0.395,0.017,0.12,0.644,3.377,6.348,-2.823e-5,0,0.35,0.35,0,0,1013.133,0.001,340.385,0.035,6.4,32.17
0.202,10.046,2968.938,782.78,0.299,0.003,59.264,47.012,245.522,0.532,0.395,0.017,0.12,0.633,3.07,5.877,1.134e-4,0,0.35,0.35,0,4.92e-5,1013.114,0.001,340.384,0.038,6.4,32.17
0.215,9.293,2967.275,781.117,0.299,0.003,59.452,46.994,243.369,0.532,0.395,0.017,0.12,0.623,2.8,5.449,1.254e-4,0,0.35,0.35,0,1.776e-4,1013.094,0.001,340.384,0.04,6.4,32.17
0.226,8.713,2965.826,779.668,0.299,0.003,59.602,46.979,241.493,0.532,0.395,0.017,0.12,0.615,2.596,5.121,2.043e-4,0,0.318,0.35,0.032,3.427e-4,1013.076,0.001,340.383,0.043,6.4,32.17
0.237,8.202,2964.402,778.244,0.299,0.003,59.737,46.964,239.649,0.532,0.395,0.017,0.12,0.608,2.42,4.829,-7.983e-5,0,0.309,0.35,0.04,5.459e-4,1013.057,0.001,340.382,0.045,6.4,32.17
0.247,7.771,2963.082,776.924,0.299,0.003,59.854,46.95,237.94,0.532,0.395,0.017,0.12,0.602,2.274,4.583,3.393e-4,0,0.302,0.35,0.048,7.657e-4,1013.038,0.001,340.382,0.047,6.4,32.17
0.257,7.42,2961.845,775.687,0.299,0.003,59.95,46.937,236.338,0.532,0.395,0.017,0.12,0.597,2.156,4.383,-4.936e-4,0,0.294,0.35,0.056,9.962e-4,1013.02,0.001,340.381,0.049,6.4,32.17
0.266,7.12,2960.676,774.518,0.298,0.003,60.034,46.925,234.825,0.532,0.395,0.017,0.12,0.593,2.056,4.212,-2.422e-4,0,0.287,0.35,0.062,0.001,1013.002,0.001,340.381,0.051,6.4,32.17
